"abbrev","Title"
"conversion","Conversion"
"crosswalk","Crosswalks"
"creation","Metadata Creation"
"extraction","Metadata Extraction"
"generation","Metadata Generation"
"harvesting","Metadata Harvesting"
"search","Search Engines"
"translation","Translation"
"transliteration","Transliteration"
"validation","Validation"
